,id,budget,popularity,runtime,revenue,popularity2,rating,totalVotes,logRevenue,release_month,release_day,release_year,release_dayofweek,has_homepage,has_collection,_status,_total_genres,_total_prod_comp,_total_prod_countries,_total_spoken_languages,original_language_cn,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_ko,original_language_others,original_language_ru,original_language_ta,original_language_zh,_production_company_Columbia Pictures,_production_company_Columbia Pictures Corporation,_production_company_Metro-Goldwyn-Mayer (MGM),_production_company_Miramax Films,_production_company_New Line Cinema,_production_company_NotKnown,_production_company_Paramount Pictures,_production_company_TriStar Pictures,_production_company_Twentieth Century Fox Film Corporation,_production_company_United Artists,_production_company_Universal Pictures,_production_company_Walt Disney Pictures,_production_company_Warner Bros.,_production_company_others,_genres_Action,_genres_Adventure,_genres_Animation,_genres_Comedy,_genres_Crime,_genres_Documentary,_genres_Drama,_genres_Fantasy,_genres_Horror,_genres_NotKnown,_genres_Romance,_genres_Thriller,_genres_others,_production_country_Australia,_production_country_Canada,_production_country_China,_production_country_France,_production_country_Germany,_production_country_Hong Kong,_production_country_India,_production_country_Italy,_production_country_Japan,_production_country_NotKnown,_production_country_Russia,_production_country_Spain,_production_country_United Kingdom,_production_country_United States of America,_production_country_others,_spoken_languages_Deutsch,_spoken_languages_English,_spoken_languages_Español,_spoken_languages_Français,_spoken_languages_NotKnown,_spoken_languages_Pусский,_spoken_languages_others,_spoken_languages_हिन्दी,_spoken_languages_日本語,_keywords_based on novel,_keywords_female nudity,_keywords_independent film,_keywords_london england,_keywords_new york,_keywords_notavailable,_keywords_others,_keywords_paris,_keywords_prison,_keywords_sex,_keywords_suicide
0,1,14000000.0,6.575392999999999,93.0,12314651,10.4,5.0,482.0,23.55387240632337,2,20,2015,4,0,1,1,1.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,40000000.0,8.248895,113.0,95149435,15.229000000000001,6.4,1528.0,26.50369175397286,8,6,2004,4,0,1,1,4.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,3300000.0,64.29999000000001,105.0,13092000,26.081999999999997,8.4,7314.0,23.64218217170685,10,10,2014,4,1,0,1,1.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,1200000.0,3.174936,122.0,16000000,5.531000000000001,7.5,115.0,23.931568569324174,3,9,2012,4,1,0,1,2.0,1.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,35849898.473076925,1.1480700000000001,118.0,3923970,8.029302914642594,6.36630811936155,933.938584316447,21.903882581060564,2,5,2009,3,0,0,1,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,6,8000000.0,0.743274,83.0,3261638,0.9279999999999999,5.1,8.0,21.637165239606478,8,6,1987,3,0,0,1,3.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,7,14000000.0,7.2864770000000005,92.0,85446075,9.437999999999999,5.9,846.0,26.348510886855024,8,30,2012,3,1,0,1,2.0,2.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,8,571304.1408450705,1.9490439999999998,84.0,2586511,2.841,7.5,26.0,21.30257589642034,1,15,2004,3,0,0,1,1.0,1.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,9,35918840.58552515,6.902423,100.0,34327391,7.5489999999999995,6.4,152.0,25.032856875879084,2,16,1996,4,0,1,1,5.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,10,6000000.0,4.672036,91.0,18750246,5.76,6.9,107.0,24.160406187854825,4,16,2003,2,0,0,1,2.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
