,id,budget,popularity,runtime,popularity2,rating,totalVotes,release_month,release_day,release_year,release_dayofweek,has_homepage,has_collection,_status,_total_genres,_total_prod_comp,_total_prod_countries,_total_spoken_languages,_keywords_based on novel,_keywords_female nudity,_keywords_independent film,_keywords_london england,_keywords_new york,_keywords_notavailable,_keywords_others,_keywords_paris,_keywords_prison,_keywords_sex,_keywords_suicide,original_language_cn,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_ko,original_language_others,original_language_ru,original_language_ta,original_language_zh,_production_company_Columbia Pictures,_production_company_Columbia Pictures Corporation,_production_company_Metro-Goldwyn-Mayer (MGM),_production_company_Miramax Films,_production_company_New Line Cinema,_production_company_NotKnown,_production_company_Paramount Pictures,_production_company_TriStar Pictures,_production_company_Twentieth Century Fox Film Corporation,_production_company_United Artists,_production_company_Universal Pictures,_production_company_Walt Disney Pictures,_production_company_Warner Bros.,_production_company_others,_genres_Action,_genres_Adventure,_genres_Animation,_genres_Comedy,_genres_Crime,_genres_Documentary,_genres_Drama,_genres_Fantasy,_genres_Horror,_genres_NotKnown,_genres_Romance,_genres_Thriller,_genres_others,_production_country_Australia,_production_country_Canada,_production_country_China,_production_country_France,_production_country_Germany,_production_country_Hong Kong,_production_country_India,_production_country_Italy,_production_country_Japan,_production_country_NotKnown,_production_country_Russia,_production_country_Spain,_production_country_United Kingdom,_production_country_United States of America,_production_country_others,_spoken_languages_Deutsch,_spoken_languages_English,_spoken_languages_Español,_spoken_languages_Français,_spoken_languages_NotKnown,_spoken_languages_Pусский,_spoken_languages_others,_spoken_languages_हिन्दी,_spoken_languages_日本語
0,3001,53492540.93031359,3.8515339999999996,90.0,6.468,6.6,91.0,7,14,2007,5.0,1,1,1,4.0,1.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3002,88000.0,3.559789,65.0,3.6489999999999996,4.5,51.0,5,19,1958,6.0,0,0,1,2.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2,3003,15036827.903526971,8.085194,100.0,9.012,6.1,176.0,5,23,1997,4.0,0,0,1,2.0,3.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3004,6800000.0,8.596012,130.0,10.923,8.0,937.0,9,4,2010,5.0,1,0,1,3.0,3.0,2.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3005,2000000.0,3.21768,92.0,5.692,6.8,50.0,2,11,2005,4.0,0,0,1,2.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5,3006,15052426.272721501,8.67935,121.0,3.417,6.3,53.0,2,7,1996,2.0,0,0,1,2.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,3007,13931162.137614679,4.898882,119.0,2.435,6.4,42.0,12,23,2010,3.0,0,0,1,3.0,4.0,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,3008,30000000.0,7.023414,77.0,6.605,6.4,242.0,2,11,2000,4.0,1,0,1,2.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8,3009,16500000.0,7.829737,120.0,10.081,7.2,571.0,3,2,2007,4.0,1,0,1,2.0,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,3010,90000000.0,17.547693,92.0,14.304,7.5,6948.0,10,30,1999,5.0,1,1,1,3.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,3011,2000000.0,0.262437,88.0,2.8169999999999997,4.6,10.0,9,1,2005,3.0,0,0,1,3.0,2.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,3012,13068441.877284596,4.220318,112.0,5.438,6.4,158.0,6,27,2014,4.0,0,0,1,1.0,13.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,3013,5000000.0,10.973482,109.0,17.56,7.1,405.0,9,10,1980,2.0,0,1,1,2.0,2.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13,3014,800000.0,1.178723,88.0,1.984,7.5,22.0,5,16,2002,3.0,1,0,1,2.0,1.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
